Item Name,Specs,Sales Quantity,Aft. Sale Inventory Quantity,Unit
"2PCS 14K Gold Filled Dolphin Charm 11x8mm, Pendant Findings for Jewelry Making",,,18,pcs
"2PCS 14K Gold Filled Heart Charm 4.8x6mm, Pendant Findings for Jewelry Making",,,18,pcs
"2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making",,,18,pcs
"Ball End Ear Wire",,,42,pair
"Ball Post Earrings",,,15,pair
"Butterfly Charm",,,18,pcs
"CZ Stone Huggie Hoop Earrings",,,0,N/A
"Chain Tab Connector",Color: gold filled,,270,pcs
"Chain Tab Connector",Color: rose gold filled,,10,pcs
"Chunky Huggie Hoop Earrings",,,4,N/A
"Clamshell Crimp Cover",Color: gold filled,,200,pcs
"Clamshell Crimp Cover",Color: rose gold filled,,70,pcs
"Clear CZ Charm",,,8,pcs
"Cloud Shaped Earrings",,,2,N/A
"Coin Pendant Earrings",,,24,pair
"Crimp Cover",Size: 3mm,,150,pcs
"Crimp Cover",Size: 4mm,,170,pcs
"Ear Hooks",,,362,pair
"Ear Wire Beading Hoop",Size: 15mm,,13,pair
"Ear Wire Beading Hoop",Size: 20mm,,25,pair
"Ear Wire Beading Hoop",Size: 25mm,4,20,pair
"Ear Wire Beading Hoop",Size: 30mm,,10,pair
"Ear Wire with Open Hoop",,,16,pair
"Flower Shaped Pearl Ear Posting Finding",,,2,N/A
"Flower Shaped Rhinestone Earrings",,,3,N/A
"Gold Filled Beads",Size: 2.5mm,,10000,beads
"Gold Filled Beads",Size: 2mm,,16800,beads
"Gold Filled Beads",Size: 3mm,,8650,beads
"Gold Filled Beads",Size: 4mm,,3500,beads
"Gold Filled Beads",Size: 5mm,,410,beads
"Gold Filled Butterfly Backing",,,15,pair
"Heart Earrings",,,9,N/A
"Huggie Hoop",,,18,pair
"Knot Earrings",,,16,pair
"Leaf Charm",,,18,pcs
"Leverback Earring",Style: a1: standard,,25,pair
"Leverback Earring",Style: a2: interchangable,,15,pair
"Long Knot Earrings",,,24,pair
"Open Jump Ring",Size: 3mm 22ga (0.64mm),50,70,pcs
"Open Jump Ring",Size: 4mm 20ga (0.76mm),,360,pcs
"Open Jump Ring",Size: 4mm 22ga (0.64mm),10,100,pcs
"Open Jump Ring",Size: 5mm 20ga (0.76mm),10,200,pcs
"Open Jump Ring",Size: 5mm 22ga (0.64mm),,100,pcs
"Patterned Heart Earrings",,,3,N/A
"Patterned Square Earrings",,,30,pair
"Pearl Cup Post Earrings",,,3,pair
"Rose Gold Filled Ball Post Earrings",,,10,pair
"Rose Gold Filled Beads",Size: 2mm,100,1100,beads
"Rose Gold Filled Beads",Size: 3mm,,1000,beads
"Rose Gold Filled Beads",Size: 4mm,,100,beads
"Rose Gold Filled Butterfly Backing",,,25,pair
"Rose Gold Filled Leverback Earrings",,,9,pair
"Round Circle Earrings",,,3,N/A
"Round Earrings with Rhinestones",,,2,N/A
"Round Tag Disc",,,14,pcs
"Round Zircon Earrings",,,6,N/A
"Shell Charm",,,4,pcs
"Shell Shaped Earrings",,,24,pair
"Spring Ring Clasp",Size: 5.5mm closed ring,,55,pcs
"Spring Ring Clasp",Size: 5.5mm open ring,,85,pcs
"Spring Ring Clasp",Size: 5mm closed ring,,80,pcs
"Spring Ring Clasp",Size: 5mm open ring,5,115,pcs
"Spring Ring Clasp",Size: 6mm closed ring,,75,pcs
"Spring Ring Clasp",Size: 6mm open ring,,100,pcs
"Star Earrings",,,3,N/A
"Star Heart Moon Charm",Style: heart,,18,pcs
"Star Heart Moon Charm",Style: moon,,12,pcs
"Star Heart Moon Charm",Style: star,,10,pcs
"Star Rhinestone Earrings",,,5,N/A
"Starfish Zircon Earrings",,,3,N/A
"Sterling Silver Butterfly Backing",,,4,N/A
"Sterling Silver Ear Wire Beading Hoops",Size: 20mm,,8,pair
"Sterling Silver Ear Wire Beading Hoops",Size: 30mm,,10,pair
"Sterling Silver Leverback Earrings",,,4,N/A
"Sun Charm",,2,20,pcs
"Thin Hoop Earrings",Size: 12mm,,5,pair
"Thin Hoop Earrings",Size: 14mm,,12,pair
"Triangle Earrings",,,4,N/A
"Twisted Hoop Earrings",,,0,N/A
"Wheat Round Earrings",,,7,N/A
"Zircon Earrings",,,2,N/A
"Zircon Rhinestone Earrings",,,0,N/A
"2is a customer listing",,1,0,N/A
"This is a customer listing",Size: 2mm,100,0,beads
